,Source,Target,Weight,Type
391,"Carlsen, Magnus","Beltran de Heredia Y Alon, Jesus M",1,Directed
392,"Carlsen, Magnus","Gago Padreny, Ignacio",1,Directed
393,"Carlsen, Magnus","Jimenez Capilla, Jose Alfonso",1,Directed
394,"Carlsen, Magnus","Labarta Gonzalez, Ivan B",1,Directed
395,"Carlsen, Magnus","Martinez Villanueva Pelae, Guzman",1,Directed
396,"Carlsen, Magnus","Nieto de la Cruz, Julio",1,Directed
397,"Carlsen, Magnus","Rodrigo Yanguas, Maria",1,Directed
398,"Carlsen, Magnus","Rubio Mejia, Luis Ignacio",1,Directed
399,"Carlsen, Magnus","Sanchez Alarcos Galian, Victor",1,Directed
400,"Carlsen, Magnus","Tolosana Esteban, Enrique",1,Directed
401,"Carlsen, Magnus","Vazquez Torres, Adrian",1,Directed
402,"Carlsen, Magnus","Eljanov, Pavel",1,Directed
403,"Carlsen, Magnus","Nisipeanu, Liviu Dieter",1,Directed
404,"Alekseev, Evgeny V","Carlsen, Magnus",1,Directed
405,"Carlsen, Magnus","Radjabov, Teimour",1,Directed
406,"Carlsen, Magnus","Leko, Peter",1,Directed
407,"Carlsen, Magnus","Jakovenko, Dmitrij",1,Directed
408,"Carlsen, Magnus","Wang, Yue",1,Directed
409,"Carlsen, Magnus","Kramnik, Vladimir",1,Directed
410,"Carlsen, Magnus","McShane, Luke J",1,Directed
411,"Carlsen, Magnus","Ni, Hua",1,Directed
412,"Gukesh, Dommaraju","Chudasama, Ankit",1,Directed
413,"Gukesh, Dommaraju","Aditya, Guhagarkar",1,Directed
414,"Tukhaev, Adam","Gukesh, Dommaraju",1,Directed
415,"Gukesh, Dommaraju","Manush, Shah",1,Directed
416,"Kulkarni, Vinayak","Gukesh, Dommaraju",1,Directed
417,"Gupta, Abhijeet","Gukesh, Dommaraju",1,Directed
418,"Gukesh, Dommaraju","Gupta, Abhijeet",1,Directed
419,"Gukesh, Dommaraju","Chumachenko, Alexander",1,Directed
420,"Gukesh, Dommaraju","Iljiushenok, Ilia",1,Directed
421,"Gukesh, Dommaraju","Frolyanov, Dmitry",1,Directed
422,"Sindarov, Javokhir","Gukesh, Dommaraju",1,Directed
423,"Dzhumaev, Marat","Gukesh, Dommaraju",1,Directed
424,"Ning, Kaiyu","Gukesh, Dommaraju",1,Directed
425,"Kulkarni, Chinmay","Gukesh, Dommaraju",1,Directed
426,"Gukesh, Dommaraju","Zilbert, Oleg",1,Directed
427,"Gukesh, Dommaraju","Mahalakshmi, Muganda Kumar",1,Directed
428,"Gukesh, Dommaraju","Murzin, Volodar",1,Directed
429,"Gukesh, Dommaraju","Rahul, Srivatshav P",1,Directed
